,time_period,return_ratio,signal,signal_percent
0,1,0.005,[1. 1. 0. ... 0. 1. 0.],0.41268292682926827
1,1,0.01,[1. 1. 0. ... 0. 0. 0.],0.33951219512195124
2,1,0.02,[1. 1. 0. ... 0. 0. 0.],0.24390243902439024
3,1,0.03,[1. 1. 0. ... 0. 0. 0.],0.1678048780487805
4,1,0.05,[0. 1. 0. ... 0. 0. 0.],0.08390243902439025
5,1,0.1,[0. 0. 0. ... 0. 0. 0.],0.0175609756097561
6,1,0.15,[0. 0. 0. ... 0. 0. 0.],0.0
7,1,0.2,[0. 0. 0. ... 0. 0. 0.],0.0
8,3,0.005,[1. 1. 0. ... 0. 0. 0.],0.6234146341463415
9,3,0.01,[1. 1. 0. ... 0. 0. 0.],0.5629268292682926
10,3,0.02,[1. 1. 0. ... 0. 0. 0.],0.4526829268292683
11,3,0.03,[1. 1. 0. ... 0. 0. 0.],0.3590243902439024
12,3,0.05,[1. 1. 0. ... 0. 0. 0.],0.24390243902439024
13,3,0.1,[1. 0. 0. ... 0. 0. 0.],0.07609756097560975
14,3,0.15,[0. 0. 0. ... 0. 0. 0.],0.033170731707317075
15,3,0.2,[0. 0. 0. ... 0. 0. 0.],0.01951219512195122
16,7,0.005,[1. 1. 0. ... 0. 0. 0.],0.7395121951219512
17,7,0.01,[1. 1. 0. ... 0. 0. 0.],0.7014634146341463
18,7,0.02,[1. 1. 0. ... 0. 0. 0.],0.6136585365853658
19,7,0.03,[1. 1. 0. ... 0. 0. 0.],0.5297560975609756
20,7,0.05,[1. 1. 0. ... 0. 0. 0.],0.39902439024390246
21,7,0.1,[1. 0. 0. ... 0. 0. 0.],0.19317073170731708
22,7,0.15,[0. 0. 0. ... 0. 0. 0.],0.11414634146341464
23,7,0.2,[0. 0. 0. ... 0. 0. 0.],0.06439024390243903
24,14,0.005,[1. 1. 0. ... 0. 0. 0.],0.8048780487804879
25,14,0.01,[1. 1. 0. ... 0. 0. 0.],0.7746341463414634
26,14,0.02,[1. 1. 0. ... 0. 0. 0.],0.6956097560975609
27,14,0.03,[1. 1. 0. ... 0. 0. 0.],0.6370731707317073
28,14,0.05,[1. 1. 0. ... 0. 0. 0.],0.5219512195121951
29,14,0.1,[1. 0. 0. ... 0. 0. 0.],0.3258536585365854
30,14,0.15,[0. 0. 0. ... 0. 0. 0.],0.23804878048780487
31,14,0.2,[0. 0. 0. ... 0. 0. 0.],0.16390243902439025
32,30,0.005,[1. 1. 1. ... 0. 0. 0.],0.833170731707317
33,30,0.01,[1. 1. 1. ... 0. 0. 0.],0.8087804878048781
34,30,0.02,[1. 1. 1. ... 0. 0. 0.],0.7502439024390244
35,30,0.03,[1. 1. 1. ... 0. 0. 0.],0.7082926829268292
36,30,0.05,[1. 1. 1. ... 0. 0. 0.],0.6439024390243903
37,30,0.1,[1. 1. 1. ... 0. 0. 0.],0.5053658536585366
38,30,0.15,[1. 1. 1. ... 0. 0. 0.],0.4224390243902439
39,30,0.2,[1. 1. 1. ... 0. 0. 0.],0.34829268292682924
40,60,0.005,[1. 1. 1. ... 0. 0. 0.],0.8419512195121951
41,60,0.01,[1. 1. 1. ... 0. 0. 0.],0.8224390243902439
42,60,0.02,[1. 1. 1. ... 0. 0. 0.],0.7775609756097561
43,60,0.03,[1. 1. 1. ... 0. 0. 0.],0.7404878048780488
44,60,0.05,[1. 1. 1. ... 0. 0. 0.],0.6819512195121952
45,60,0.1,[1. 1. 1. ... 0. 0. 0.],0.5590243902439025
46,60,0.15,[1. 1. 1. ... 0. 0. 0.],0.49853658536585366
47,60,0.2,[1. 1. 1. ... 0. 0. 0.],0.44878048780487806
48,90,0.005,[1. 1. 1. ... 0. 0. 0.],0.8360975609756097
49,90,0.01,[1. 1. 1. ... 0. 0. 0.],0.8156097560975609
50,90,0.02,[1. 1. 1. ... 0. 0. 0.],0.7736585365853659
51,90,0.03,[1. 1. 1. ... 0. 0. 0.],0.751219512195122
52,90,0.05,[1. 1. 1. ... 0. 0. 0.],0.7063414634146341
53,90,0.1,[1. 1. 1. ... 0. 0. 0.],0.6175609756097561
54,90,0.15,[1. 1. 1. ... 0. 0. 0.],0.5746341463414634
55,90,0.2,[1. 1. 1. ... 0. 0. 0.],0.5317073170731708
56,180,0.005,[1. 1. 1. ... 0. 0. 0.],0.7882926829268293
57,180,0.01,[1. 1. 1. ... 0. 0. 0.],0.7804878048780488
58,180,0.02,[1. 1. 1. ... 0. 0. 0.],0.7619512195121951
59,180,0.03,[1. 1. 1. ... 0. 0. 0.],0.7463414634146341
60,180,0.05,[1. 1. 1. ... 0. 0. 0.],0.7209756097560975
61,180,0.1,[1. 1. 1. ... 0. 0. 0.],0.655609756097561
62,180,0.15,[1. 1. 1. ... 0. 0. 0.],0.6175609756097561
63,180,0.2,[1. 1. 1. ... 0. 0. 0.],0.5785365853658536
